N,initial_freq,x0,p_fixation_mc,p_fixation_theory,tau_mc_mean,tau_mc_se,tau_theory
20,0.1,2,0.0996,0.1,119.764,2.3609188313759684,120.85695470679983
20,0.2,4,0.2076,0.2,187.682,2.6992271302393434,190.59591835752818
20,0.3,6,0.284,0.3,233.0186,2.823895828166766,234.65841142002122
20,0.4,8,0.3986,0.4,251.4806,2.88378930799089,259.46815722976703
20,0.5,10,0.5056,0.5,263.186,2.861360109656844,267.50856127017107
20,0.6,12,0.5998,0.6,257.81,2.774958013807719,259.46815722976703
20,0.7,14,0.6988,0.7,234.8902,2.829749177024878,234.65841142002125
20,0.8,16,0.793,0.8,192.878,2.8807963379434063,190.59591835752823
20,0.9,18,0.8944,0.9,120.8952,2.3009899074752282,120.85695470679988
50,0.1,5,0.1014,0.1,789.4672,14.502088395069023,788.5467524997532
50,0.2,10,0.1934,0.2,1219.27,17.07350039749215,1226.4431409666815
50,0.3,15,0.301,0.3,1515.7944,18.345908575429554,1502.474117622306
50,0.4,20,0.4024,0.4,1695.0286,18.47938604765179,1657.792992299288
50,0.5,25,0.5076,0.5,1715.8514,18.343131469790855,1708.1179014397896
50,0.6,30,0.6008,0.6,1656.2802,17.31570269580654,1657.7929922992896
50,0.7,35,0.7018,0.7,1511.1064,18.169785793975883,1502.474117622308
50,0.8,40,0.804,0.8,1208.2186,16.62871769599961,1226.4431409666834
50,0.9,45,0.8932,0.9,802.566,14.920270950148499,788.5467524997542
100,0.1,10,0.1064,0.1,3319.2418,61.30668105202625,3201.6714967913135
100,0.2,20,0.1982,0.2,4916.9492,67.19457705053937,4954.461630544722
100,0.3,30,0.3006,0.3,6140.7956,74.41453694370367,6058.956480168546
100,0.4,40,0.407,0.4,6782.2656,73.26493963805171,6680.380542940287
100,0.5,50,0.4966,0.5,6824.7896,70.44019675363,6881.721793101964
100,0.6,60,0.594,0.6,6627.862,70.58505849857922,6680.380542940287
100,0.7,70,0.7012,0.7,6049.0168,72.11822886046457,6058.9564801685465
100,0.8,80,0.8038,0.8,4942.7646,67.81521956727973,4954.461630544712
100,0.9,90,0.8918,0.9,3159.7158,57.22969310979013,3201.6714967913103
