t,m_mean,m_se,m0,R,u,T,n_paths
0.0,0.188875602837499,1.0000757021573261e-09,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
0.5,0.18952672270485071,0.0012966934098518406,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
1.0,0.18886057549827956,0.0016476342122835465,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
1.5,0.189238132171171,0.0019517338921241473,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
2.0,0.1889234255408947,0.0021641534755488445,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
2.5,0.19059708495811137,0.002467725171047682,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
3.0,0.19038409230081066,0.0026210878014609404,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
3.5,0.19069041829796404,0.0028321327166649568,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
4.0,0.1905355533268594,0.002948521562595204,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
4.5,0.190853969476583,0.00306918658470899,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
5.0,0.18961852288025308,0.0031465745112607938,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
5.5,0.18976292447246149,0.003236261850323196,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
6.0,0.18865942914490855,0.003296943360232318,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
6.5,0.18974565898357634,0.0033873501503504408,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
7.0,0.18956776179425647,0.003464081907058429,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
7.5,0.1894973391968375,0.003518048930269393,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
8.0,0.18968209825118748,0.003595343945628207,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
8.5,0.18949819049612304,0.0036323170122772685,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
9.0,0.18965785265970478,0.0036647902935932307,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
9.5,0.1893622145314251,0.003705196146551843,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
10.0,0.18919912527756225,0.0037344110476607746,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
10.5,0.18837799907924738,0.003758903547476203,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
11.0,0.18839358577039136,0.0037917379763889214,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
