u,psi_mc,psi_se,psi_lundberg,psi_exact,R,theta
0,0.82844,0.0016859843795243184,1.0,0.8333333333333334,0.1666666666666676,0.2
1,0.69802,0.0020532319868928595,0.8464817248906132,0.7054014374088451,0.1666666666666676,0.2
2,0.58316,0.002204923646750608,0.7165313105737879,0.5971094254781577,0.1666666666666676,0.2
3,0.49074,0.00223568446968708,0.6065306597126318,0.5054422164271947,0.1666666666666676,0.2
4,0.41024,0.0021997415411816,0.5134171190325901,0.4278475991938268,0.1666666666666676,0.2
5,0.34606,0.0021274514161315175,0.4345982085070762,0.36216517375589863,0.1666666666666676,0.2
6,0.2906,0.002030525252243862,0.3678794411714403,0.306566200976202,0.1666666666666676,0.2
7,0.24254,0.001916842969050934,0.31140322391459563,0.25950268659549813,0.1666666666666676,0.2
8,0.19628,0.001776255396050917,0.2635971381157248,0.2196642817631057,0.1666666666666676,0.2
9,0.16506,0.0016602120129670186,0.22313016014842796,0.18594180012369158,0.1666666666666676,0.2
10,0.14358,0.0015682141664964005,0.18887560283756005,0.15739633569796826,0.1666666666666676,0.2
11,0.11696,0.0014372220315594943,0.15987974607969224,0.13323312173307833,0.1666666666666676,0.2
12,0.09646,0.0013202686726571983,0.13533528323661118,0.1127794026971773,0.1666666666666676,0.2
13,0.08082,0.0012189185994150717,0.11455884399268632,0.09546570332723978,0.1666666666666676,0.2
14,0.06542,0.0011058048978006925,0.0969719678644038,0.08080997322033759,0.1666666666666676,0.2
15,0.05454,0.0010155332431781836,0.08208499862389763,0.0684041655199157,0.1666666666666676,0.2
16,0.04562,0.000933153959430061,0.0694834512228005,0.05790287601900131,0.1666666666666676,0.2
17,0.03656,0.0008393255196882792,0.058816471642428966,0.04901372636869159,0.1666666666666676,0.2
18,0.03218,0.0007892331417268284,0.049787068367863105,0.04148922363988664,0.1666666666666676,0.2
19,0.0255,0.0007049787230831864,0.04214384350927566,0.03511986959106369,0.1666666666666676,0.2
20,0.02064,0.0006358300150197378,0.03567399334725173,0.02972832778937702,0.1666666666666676,0.2
