stop_type,n_paths,mean,se,reached_frac
two_sided,100,0.3,1.0158740079360236,1.0
one_sided,100,10.0,0.0,0.9349999999999999
two_sided,193,-0.36269430051813467,1.3066860324267866,1.0
one_sided,193,10.0,0.0,0.9222797927461138
two_sided,372,0.10752688172043011,0.8665759444498404,1.0
one_sided,372,10.0,0.0,0.9211469534050178
two_sided,719,0.30598052851182195,0.2594542156631103,1.0
one_sided,719,10.0,0.0,0.9246638850254983
two_sided,1389,-0.4535637149028078,0.37008120934088806,1.0
one_sided,1389,10.0,0.0,0.918046556275498
two_sided,2682,0.10439970171513796,0.15183988670215526,1.0
one_sided,2682,10.0,0.0,0.9173502361421826
two_sided,5179,0.023170496234794363,0.19242210132424464,1.0
one_sided,5179,10.0,0.0,0.9244062560339833
two_sided,10000,-0.0275,0.080313759717747,1.0
one_sided,10000,10.0,0.0,0.9201333333333332
