N,mean,se
10,0.152,0.09513120384997735
16,0.194,0.11776345881567947
26,-0.112,0.15153355542063424
42,-0.026,0.19728721764535645
69,0.002,0.24733615015029886
112,-0.186,0.3099959701375189
183,-0.131,0.3672065899186447
297,-0.494,0.4454035791822382
483,-0.492,0.519601695457128
784,-0.404,0.6135056423319782
1274,-0.824,0.7136542064097474
2069,-0.186,0.7834955451496001
3359,-0.711,0.9367438112781787
5455,-0.593,1.091615763891295
8858,0.006,1.20674943886799
14384,0.746,1.3153804429554627
23357,0.955,1.4448746096591352
37926,-0.526,1.8215326802737595
61584,1.096,1.7572702645816274
100000,1.206,2.1359981395244825
