N,r,r_frac,success_mc,se,batch_key
20,1,0.05,0.051,0.004919298730510275,N20_idx000
20,1,0.05,0.0445,0.004610843198374892,N20_idx001
20,1,0.05,0.045,0.004635461142108733,N20_idx002
20,2,0.1,0.051,0.004919298730510275,N20_idx003
20,3,0.15,0.0445,0.004610843198374892,N20_idx004
20,3,0.15,0.0545,0.005075911248239078,N20_idx005
20,4,0.2,0.05,0.004873397172404482,N20_idx006
20,5,0.25,0.046,0.00468422885862764,N20_idx007
20,5,0.25,0.051,0.004919298730510275,N20_idx008
20,6,0.3,0.0455,0.004659922209651144,N20_idx009
20,7,0.35,0.0455,0.004659922209651144,N20_idx010
20,7,0.35,0.056,0.005141206084179081,N20_idx011
20,8,0.4,0.0485,0.004803527349771208,N20_idx012
20,9,0.45,0.051,0.004919298730510275,N20_idx013
20,9,0.45,0.0445,0.004610843198374892,N20_idx014
20,10,0.5,0.0535,0.005031786462082826,N20_idx015
20,10,0.5,0.0455,0.004659922209651144,N20_idx016
20,11,0.55,0.0465,0.004708383480558906,N20_idx017
20,12,0.6,0.052,0.004964675215963275,N20_idx018
20,12,0.6,0.0575,0.005205465877325487,N20_idx019
20,13,0.65,0.04,0.004381780460041329,N20_idx020
20,14,0.7,0.052,0.004964675215963275,N20_idx021
20,14,0.7,0.051,0.004919298730510275,N20_idx022
20,15,0.75,0.0455,0.004659922209651144,N20_idx023
20,16,0.8,0.063,0.005432816948876522,N20_idx024
20,16,0.8,0.0485,0.004803527349771208,N20_idx025
20,17,0.85,0.056,0.005141206084179081,N20_idx026
20,18,0.9,0.0605,0.005331029450303197,N20_idx027
20,18,0.9,0.046,0.00468422885862764,N20_idx028
20,19,0.95,0.043,0.004536022486716748,N20_idx029
50,1,0.02,0.0215,0.003243281517229116,N50_idx000
50,2,0.04,0.0175,0.002932042803234632,N50_idx001
50,4,0.08,0.022,0.003279939023823461,N50_idx002
50,5,0.1,0.0145,0.0026729898989708138,N50_idx003
50,7,0.14,0.017,0.002890588175441116,N50_idx004
