N,r,r_frac,success_mc,se,theory,batch_key
20,1,0.05,0.178,0.005409547115979303,0.1773869828571841,N20_idx000
20,1,0.05,0.1676,0.00528223891924627,0.1773869828571841,N20_idx001
20,1,0.05,0.1834,0.005472923167741349,0.1773869828571841,N20_idx002
20,1,0.05,0.186,0.00550279928763534,0.1773869828571841,N20_idx003
20,1,0.05,0.1794,0.005426152227868289,0.1773869828571841,N20_idx004
20,2,0.1,0.2568,0.006178248295431319,0.25477396571436817,N20_idx005
20,2,0.1,0.2406,0.006045025061982787,0.25477396571436817,N20_idx006
20,3,0.15,0.3148,0.006568119365541403,0.30716094857155224,N20_idx007
20,3,0.15,0.3074,0.006525415542323723,0.30716094857155224,N20_idx008
20,3,0.15,0.322,0.006607813556691804,0.30716094857155224,N20_idx009
20,4,0.2,0.3458,0.006726401117982781,0.34288126476206976,N20_idx010
20,4,0.2,0.3468,0.0067309696181159515,0.34288126476206976,N20_idx011
20,5,0.25,0.371,0.0068316762218360435,0.36610158095258716,N20_idx012
20,5,0.25,0.3596,0.006786572625412625,0.36610158095258716,N20_idx013
20,5,0.25,0.3762,0.006850891328871011,0.36610158095258716,N20_idx014
20,6,0.3,0.384,0.006878139283265497,0.37932189714310455,N20_idx015
20,6,0.3,0.3784,0.006858767236172984,0.37932189714310455,N20_idx016
20,7,0.35,0.3698,0.0068271217947243334,0.38420888000028863,N20_idx017
20,7,0.35,0.3832,0.006875431041032991,0.38420888000028863,N20_idx018
20,7,0.35,0.3852,0.006882164775708295,0.38420888000028863,N20_idx019
20,8,0.4,0.3822,0.0068720180442137955,0.38195300571461566,N20_idx020
20,8,0.4,0.3832,0.006875431041032991,0.38195300571461566,N20_idx021
20,9,0.45,0.3808,0.006867188070819089,0.3734471314289426,N20_idx022
20,9,0.45,0.3684,0.00682175109484361,0.3734471314289426,N20_idx023
20,9,0.45,0.371,0.0068316762218360435,0.3734471314289426,N20_idx024
20,10,0.5,0.3516,0.006752443113421986,0.359385701587714,N20_idx025
20,10,0.5,0.3584,0.006781584475622198,0.359385701587714,N20_idx026
20,10,0.5,0.3528,0.006757694281335906,0.359385701587714,N20_idx027
20,11,0.55,0.3382,0.006690601766657465,0.3403242717464854,N20_idx028
20,11,0.55,0.3448,0.006721799758993122,0.3403242717464854,N20_idx029
20,12,0.6,0.334,0.006669992503743913,0.3167173873598022,N20_idx030
20,12,0.6,0.3208,0.006601323503661974,0.3167173873598022,N20_idx031
20,12,0.6,0.3088,0.006533644618434646,0.3167173873598022,N20_idx032
20,13,0.65,0.2852,0.006385310642404173,0.28894383630645243,N20_idx033
20,13,0.65,0.3016,0.006490569158402058,0.28894383630645243,N20_idx034
20,14,0.7,0.2516,0.006136732681158598,0.2573241314069487,N20_idx035
20,14,0.7,0.2644,0.006236868444981023,0.2573241314069487,N20_idx036
20,14,0.7,0.2494,0.0061188175328244585,0.2573241314069487,N20_idx037
20,15,0.75,0.2138,0.005798095549402407,0.22213299793601649,N20_idx038
20,15,0.75,0.2202,0.005860238220413911,0.22213299793601649,N20_idx039
20,16,0.8,0.1772,0.005400002962962149,0.18360853113175093,N20_idx040
20,16,0.8,0.1764,0.005390418165597174,0.18360853113175093,N20_idx041
20,16,0.8,0.1818,0.005454333323147752,0.18360853113175093,N20_idx042
20,17,0.85,0.139,0.004892422712726283,0.14195906432748537,N20_idx043
20,17,0.85,0.1386,0.004886512867065838,0.14195906432748537,N20_idx044
20,18,0.9,0.1002,0.004246409306696659,0.09736842105263158,N20_idx045
20,18,0.9,0.1016,0.004272644146193314,0.09736842105263158,N20_idx046
20,18,0.9,0.0918,0.004083448542592401,0.09736842105263158,N20_idx047
20,19,0.95,0.0518,0.003134222710657301,0.049999999999999996,N20_idx048
20,19,0.95,0.054,0.003196372944448129,0.049999999999999996,N20_idx049
50,1,0.02,0.0872,0.0039898912265875115,0.08958410676658851,N50_idx000
50,1,0.02,0.0824,0.0038887077545117737,0.08958410676658851,N50_idx001
50,2,0.04,0.1392,0.004895372508808701,0.139168213533177,N50_idx002
50,3,0.06,0.1824,0.0054613229166567325,0.17875232029976548,N50_idx003
50,4,0.08,0.2012,0.005669542485950696,0.21166976039968735,N50_idx004
50,5,0.1,0.256,0.006171936487035491,0.2395872004996092,N50_idx005
50,6,0.12,0.2644,0.006236868444981023,0.263504640599531,N50_idx006
50,7,0.14,0.2792,0.006344247157858843,0.28408874736611955,N50_idx007
50,8,0.16,0.3,0.00648074069840786,0.30181571127556517,N50_idx008
50,9,0.18,0.3182,0.006587089797475057,0.3170426751850108,N50_idx009
50,10,0.2,0.3114,0.0065487409476936865,0.33004741687223427,N50_idx010
50,11,0.22,0.3408,0.006703064373851708,0.34105215855945764,N50_idx011
50,12,0.24,0.3452,0.0067236442499585,0.35023871842849924,N50_idx012
50,13,0.26,0.356,0.006771469559851835,0.3577586116308742,N50_idx013
50,14,0.28,0.3656,0.0068108243260269164,0.3637400432947876,N50_idx014
50,15,0.3,0.367,0.0068163186545231284,0.3682929035301295,N50_idx015
50,16,0.32,0.3666,0.006814755168015943,0.37151243043213816,N50_idx016
50,17,0.34,0.378,0.0068573464255497546,0.37348195733414685,N50_idx017
50,18,0.36,0.3716,0.006833936493705513,0.37427501364792015,N50_idx018
50,19,0.38,0.3736,0.006841389332584428,0.3739569588505824,N50_idx019
50,20,0.4,0.3618,0.006795597986932423,0.37258627247429726,N50_idx020
50,21,0.42,0.368,0.006820205275503076,0.3702155860980121,N50_idx021
50,22,0.44,0.3666,0.006814755168015943,0.36689251876934603,N50_idx022
50,23,0.46,0.362,0.006796410817483004,0.36266036053158907,N50_idx023
50,24,0.48,0.3494,0.006742694416922659,0.3575586370764407,N50_idx024
50,25,0.5,0.3492,0.006741800353021439,0.3516235802879591,N50_idx025
50,26,0.52,0.3572,0.00677655015476164,0.34488852349947746,N50_idx026
50,27,0.54,0.342,0.006708740567349433,0.3373842359417651,N50_idx027
50,28,0.56,0.3314,0.0066569368331087534,0.32913920764331195,N50_idx028
50,29,0.58,0.3186,0.006589294954697354,0.320179893630573,N50_idx029
50,30,0.6,0.3222,0.0066088903758497915,0.31053092444542035,N50_idx030
50,31,0.62,0.2918,0.006428884195566132,0.3002152885936011,N50_idx031
50,32,0.64,0.2846,0.006381266958841325,0.28925449145145915,N50_idx032
50,33,0.66,0.287,0.006397358830017275,0.2776686943093173,N50_idx033
50,34,0.68,0.2562,0.006173516987908917,0.26547683656111476,N50_idx034
